stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
382,8264,"Western Blvd at Powell Dr",,35.786635,-78.712925,,,,,,0
383,8265,"Ridge Rd at Horton St",,35.811676,-78.684278,,,,,,0
384,8266,"Ridge Rd at Anclote Pl",,35.805546,-78.686685,,,,,,0
385,8267,"Ridge Rd at Wade Ave (SB)",,35.802694,-78.687552,,,,,,0
386,8268,"Wade Ave at Ridge Rd (Meredith College)",,35.801491,-78.686649,,,,,,0
387,8269,"Wade Ave at Dogwood Ln",,35.801025,-78.680740,,,,,,0
388,8270,"Dixie Trail at O'Berry St (SB)",,35.799838,-78.676358,,,,,,0
389,8271,"Dixie Trail at Ruffin St",,35.796690,-78.676340,,,,,,0
390,8272,"Dixie Trail at Clark Ave (SB)",,35.792711,-78.675822,,,,,,0
391,8273,"Hillsborough St at Friendly Dr",,35.789555,-78.676498,,,,,,0
392,8274,"Hillsborough St at Gardner St (NCSU)",,35.788412,-78.671370,,,,,,0
393,8275,"Hillsborough St at Western Blvd",,35.787155,-78.717827,,,,,,0
